rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
2013,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską – ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży - ul. Książęca – ul. Rozbrat do parku im. Rydza Śmigłego,"- Koalicja 1 Maja organizuje marsz we Wrocławiu, na który trafia wielu uczestników warszawskich 1 majów- Tradycyjnie RSS Ikonowicza wiecuje na de Gaulle'a, potem idzie w pochodzie, wygląda że pod URM",ul. Rozbrat do parku im. Rydza Śmigłego,koniec trasy,"Godna praca - dość wyzysku!
Żądamy zwrotu ukradzionych nam mieszkań
„Tusk do roboty, za 500 złotych”
, „Tusk się śmieje – lud biednieje”
, „Dziś Platformę zatopimy, a Donalda pogonimy”",20000@TPZ;20000@Lewica.pl;20000@FZZHiM,20000,,Hasło;Trasa;Trasa_alt;Hasła_radykalne;Hasła_OPZZ;Hasła;Frekwencja,PL_1990-2019.md,False
2013,PL,SLD,True,,,,,,"*Praca Tymczasowa, wyzysk stały*",,,,Hasła_SLD,PL_1990-2019.md,True
2014,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską – ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży - ul. Książęca – ul. Rozbrat do parku im. Rydza Śmigłego,"Marsz Sprawiedliwości Społecznej Ikonowicza rozpoczyna się o 11 na rondzie de Gaulle'a. Potem KPRM, gdzie odbywa się wiec,
*W demonstracji brali udział członkowie między innymi Ruchu Sprawiedliwości Społecznej, Komunistycznej Partii Polski, Pracowniczej Demokracji, OZZ Inicjatywa Pracownicza, Samoobrony RP, Warszawskiego Stowarzyszenia Lokatorów oraz Zielonych.* Inicjatywa Pracownicza występuje z hasłem ""Walcz, protestuj, stawiaj opór. Strajk generalny teraz!"" (Biuletyn IP 40/2014)",ul. Rozbrat do parku im. Rydza Śmigłego,koniec trasy,Godna praca dość umów śmieciowych,10000@TPZ;6000@Lewica.pl;6000@Przegląd-Socjalistyc,7333,,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2015,PL,OPZZ,True,demonstracja,"- manifestacja się nie odbywała ze względu na odbytą 18.04. wielką manifestację OPZZ w Warszawie. W parku im. Rydza Śmigłego przy ul. Rozbrat odbył się zorganizowany przez Lewicę piknik europejski. OPZZ złożył jak co roku kwiaty w Cytadeli Warszawskiej – Brama Straceń i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski","- Partia Zmiana oranizuje pochód rozpoczynający się na placu Osterwy (OPZZ)-Nowy Świat-Krakowskie Przedmieście-Pałac Prezydencki
- ""Ikonowicz na rondzie de Gaulle'a wiecuje, nie mam informacji dokąd idzie""","Warszawa, Plac Grzybowski",koniec trasy,"nowe, lepsze miejsca pracy, godziwe wynagrodzenia i zmniejszenie nierówności społecznych(Szumlewicz)
nowe, lepsze miejsca pracy, godziwe wynagrodzenia i zmniejszenie nierówności społecznych.",,,bez liczby: pochód OPZZ nie odbywa się,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Frekwencja,PL_1990-2019.md,False
2016,PL,OPZZ,True,demonstracja,spod OPZZ – ul. Świętokrzyską - ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – al. Ujazdowskie - ul. Matejki – Sejm RP.,Ikonowicz spod ronda de Gaulle'a do Kancelarii Premiera,Sejm RP,koniec trasy,"Dobra zmiana to godna praca, płaca i emerytura
Dzisiaj święto ludzi Pracy – godnej płacy chcą Polacy
„Służba zdrowia ciężko chora, trudno znaleźć dziś doktora
„Nauczyciel pracy szuka – chora też jest i nauka”
”Młodzież jedzie za granice i zamiata tam ulice”
„Będzie praca – będzie raj  –  Polska przecież to nasz kraj (ZZKiM)""",1000@GW;5000@TPZ;5000@FZZHiM,3667,,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Hasła_radykalne;Frekwencja,PL_1990-2019.md,False
2017,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską - ul. Krakowskie Przedmieście/Miodowa gdzie odbywał się piknik.,"przedstawiciele Ruchu Sprawiedliwości Społecznej, Komunistycznej Partii Polski, Partii Socjaliści, Warszawskiego Stowarzyszenia Lokatorów i innych grup. de Gaulle'a-KPRM",ul. Krakowskie Przedmieście/Miodowa,koniec trasy,"Przywróćmy godną pracę
Konstytucja naszym prawem
Dobra zmiana to godna praca, płaca i emerytura
-
Tak godniej pracy! Nie wyzyskowi!
Europa potrzebuje podwyżki płac!",300@GW;1000@Polskie-Radio,650,,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Frekwencja,PL_1990-2019.md,False
2017,PL,Razem,True,,,,,,"Razem z lokatorami
Polska dla milionów, nie dla milionerów
Wolne związki zawodowe",,,,Hasła_Razem,PL_1990-2019.md,True
2018,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską - ul. Krakowskie Przedmieście/Miodowa gdzie odbywał się piknik.,"O godzinie 11.30 na rondzie de Gaulle'a rozpoczęło się za to drugie pierwszomajowe zgromadzenie. Jego organizatorem jest Piotr Ikonowicz i jego Ruch Sprawiedliwości Społecznej. Zebrani okolic ronda przechodzą Nowym Światem, przez plac Trzech Krzyży, do Alej Ujazdowskich. Zakończenie uroczystości o 15. (Tvn24.pl)",ul. Krakowskie Przedmieście/Miodowa,koniec trasy,"Polska potrzebuje wyższych płac!
Zdrowie Najwyższą Wartością
Emerytury Również za Staż Pracy
Przywróćmy godną pracę
Konstytucja naszym prawem",1000@FZZHiM;500@Wprost;600@Strajk.eu;1000@TPZ,775,,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Frekwencja,PL_1990-2019.md,False
2018,PL,Razem,True,,,,,,"Mieszkanie prawem nie towarem
Umowy Śmieciowe do kosza
Najpierw ludzie, potem zyski",,,,Hasła_Razem,PL_1990-2019.md,True
2019,PL,OPZZ,True,demonstracja,"Nie było pochodu odbył się piknik przy pomniku I. Daszyńskiego pl. Na Rozdrożu. Składano wieńce na Cytadeli Warszawskiej – Brama Straceń
i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski","- O godz. 11 na rondzie de Gaulle’a Społeczne Forum Wymiany Myśli, Studencki Komitet Antyfaszystowski, Historia Czerwona, Fundacja Naprzód, Uniwersytet Zaangażowany oraz redakcja Portalu Strajk organizuje demonstrację z okazji Święta Pracy. Uczestnicy przejdą na plac Bankowy.- O godz. 12.30 Polska Partia Socjalistyczna organizuje na placu Grzybowskim Międzynarodowy Dzień Solidarności Ludzi Pracy, który - jak zapowiadają organizatorzy - ma być ""wspólną manifestacją lewicy"". (strajk. eu)",Brama Straceń,koniec trasy,-,,,bez liczby: pochód OPZZ nie odbywa się,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2020,PL,OPZZ,True,demonstracja,"Pochodów nie było z powodu COVID-19. Składano wieńce na w Cytadeli Warszawskiej – Brama Straceń
i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski i pod pomnikiem I. Daszyńskiego",,Brama Straceń,koniec trasy,,,,,Hasło;Trasa,PL_1990-2019.md,False
2021,PL,OPZZ,True,demonstracja,"Pochodów nie było z powodu COVID-19. Składano wieńce na w Cytadeli Warszawskiej – Brama Straceń
i pod pomnikiem upamiętniającym pierwszą manifestację P.P.S. – Warszawa, Plac Grzybowski i pod pomnikiem I. Daszyńskiego",,Brama Straceń,koniec trasy,,,,,Hasło;Trasa,PL_1990-2019.md,False
2022,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyska - ul. Nowy Świat – rondo de Gaull’ea - pl. Trzech Krzyży – A. Ujazdowskie – pl. Na Rozdrożu – Al. Szucha – pomnik I. Daszyńskiego,,pomnik I. Daszyńskiego,koniec trasy,Godna praca=godne życie. Niech się święci 1. maja!,,,,Hasło;Trasa,PL_1990-2019.md,False
2023,PL,OPZZ,True,demonstracja,pochód spod Pałacu Kultury i Nauki (park Świętokrzyski) – ul. Świętokrzyską - pod siedzibę OPZZ.,,pod siedzibę OPZZ,koniec trasy,Godna praca=godne życie. Niech się święci 1. maja!,,,,Hasło;Trasa,PL_1990-2019.md,False
2024,PL,OPZZ,True,demonstracja,pochód spod Pałacu Kultury i Nauki (park Świętokrzyski) – ul. Świętokrzyską - pod siedzibę OPZZ.,,pod siedzibę OPZZ,koniec trasy,Chcemy Europy Socjalnej,,,,Hasło;Trasa,PL_1990-2019.md,False
1990,DE,FDGB,True,,,,,,,,,,Apel_FDGB,DE_1990-2019.md,True
1990,DE,DGB,True,demonstracja,Keithstrasse/Kleiststrasse – Martin Luther Strasse – Hohenstauffenstrasse – Pallastr. – Potsdamer Strasse – Entlastungsstr. – Motklestr. – Platz der Republik (DGBB 651),,Platz der Republik,pole wiec,100 Jahre 1. Mai: Solidarität Sichert Unsere Zukunft,60000@JW;60000@ND;50000@TAZ;16000@TAZ;15000@organizatorzy;8000@policja,34833,,Apel_DGB;FrekwencjaDGB;Hasło_DGB;TrasaDGB;wiec,DE_1990-2019.md,False
1990,DE,,False,demonstracja,"FDGB: Lustgarten - Unter den Linden - Brandenburger Tor - Platz der Republik
IG Metall: Alten Jakobstrasse – Brandenburger Tor - Platz der Republik
ÖTV i GBW: Joachimsthaler Straße – Brandenburger Tor - Platz der Republik
DGB: Keithstrasse - Brandenburger Tor - Platz der Republik
1. DGB; 2. ÖTV i GEW: Joachimsthalerstrasse - Brama Brandenburska - Reichstag",,Platz der Republik,koniec trasy,,,,,Trasa;Trasa_zachod,DE_1990-2019.md,True
1990,DE,R1M,True,demonstracja,Oranienplatz - O-Straße - Wiener Str - Ohlauver Str. - Friedelstr. -Reuterstr. - Hermannplatz - Kottbusser Tor (Interim 99/1990),,Kottbusser Tor (Interim 99/1990),koniec trasy,Lieber raus auf die Straße als heim ins Reich (Interim 100/1990),12000@TAZ;15000@organizatorzy;15000@BZ,14000,,Uczestnicy_revo;Trasa_revo;Hasło_revo;FrekwencjaRevo;TrasaOstRevo,DE_1990-2019.md,False
1990,DE,ÖTV,True,demonstracja,"Joachimstaler Straße, Ecke Lietzenburger Strasse – Joachimstaler Straße – Lietzenburger Strasse – Schlüsterstrasse – Kantstrasse – Breitschiedtplatz – Budapester Strasse – Stülerstrasse – Hofjägerallee – Großer Stern – Spreeweg – John-Forster-Dulles-Alle – Platz der Republik (DGBB 651)",,Platz der Republik (DGBB 651),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1990,DE,IG Metall,True,demonstracja,Alte Jacobstrasse – Lindenstrasse – Gitschner Strasse – Mehringdamm – Yorckstrasse – Yorkbrücken – Goebenstrasse – Kulmer Strasse – Bülowstr. – Postdamer Str. – Entlastungsstr. – Platz der Republik (DGBB 651),,Platz der Republik (DGBB 651),koniec trasy,,,,,TrasaIGM,DE_1990-2019.md,False
1991,DE,FDGB,True,,,,,,,,,,Apel_FDGB,DE_1990-2019.md,True
1991,DE,DGB,True,demonstracja,Kleiststrasse – Martin Luther Strasse – Hohenstauffenstrasse – Pallastr. – Potsdamer Strasse – Entlastungsstr. – Motklestr. – Platz der Republik (DGBB 651; 653),,Platz der Republik,pole wiec,Soziale Einheit in Frieden und Freiheit,15000@DGB,15000,,Apel_DGB;Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB,DE_1990-2019.md,False
1991,DE,,False,demonstracja,"Geplant ist ein Sternmarsch zum Platz der Republik vor dem Reichstagsgebäude mit vier Demonstrationszügen, die von verschiedenen Punkten der Berliner Innenstadt starten werden, teilte der DGB gestern mit. (taz 30.04.1991). Metaller with the critical trade unionists march from Lindnerstrasse/Gittigerstrasse ecke. Other 3, I guess as a year before and after
Märkisches Ufer – Brückenstrasse – Stralauer Strasse – Spandauer Strasse – Karl-Liebknecht–Strasse – Unter den Linden – Brandenburger Tor – Strasse der 17. Juni – Entlastungsstrasse – Platz der Republik (DGBB 653)",,,,,15000@DGB;25;30000@DGBG000721;10000@rbb,13756,bez liczby: TAZ,Frekwencja;Trasa;Trasa_Ost,DE_1990-2019.md,True
1991,DE,R1M,True,demonstracja,Oranienplatz 13.00 Uhr -: Skalitzerstr. -‘ Görlitzerstr. ->Oppelnerstr. -> Wrangelstr. -: Falckensteinstr. -> Oberbaumbrücke -> Warschauerstr. -’ Kopernikusstr. -: Simon-Dach-Str. -»Niederbarnimstr. -’ Proskauerstr. -. Liebigstr. ->Abschluß Bänschstr./Proskauerstr (Interim 142/1991),,,,,12000@TAZ;20000@ND,16000,,FrekwencjaRevo;Trasa_revo,DE_1990-2019.md,False
1991,DE,IG Metall,True,demonstracja,Alte Jacobstrasse – Oranienstrasse – Kochstrasse – Friedrichstrasse – Unter den Linden – Brandenburger Tor – Strasse der 17. Juni – Entlastungsstrasse – Platz der Republik (DGBB 653),,Platz der Republik (DGBB 653),koniec trasy,,,,,TrasaIGM,DE_1990-2019.md,False
1991,DE,ÖTV,True,demonstracja,Lietzenburger Strasse – Nürnburger Strasse – Budapester Strasse – Stülerstrasse – Hofjägerallee – Großer Stern – Spreeweg – John-Forster-Dulles-Alle – Platz der Republik (DGBB 653),,Platz der Republik (DGBB 653),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1992,DE,,False,demonstracja,"Overall, there will be 5 different marches towards the main event in Lustgarten: 1) the DGB building on Keithstraße (8:30 a.m.); 2) the IG Metall building on Alte Jakobstraße (9:00 a.m.) and 3) the ÖTV building on Joachimsthaler Straße 20 (8:30 a.m.). In the east, the march will begin in front of the trade union building on 4) Wallstraße 61-65 (9:30 a.m.). Moreover, Bündnis kritischer GewerkschafterInnen Ost/ West organise their own march from Alexanderplatz to Lustgarten (taz 29.04)
Wallstraße – Märkisches Ufer – Brückenstrasse – Stralauer Strasse – Spandauer Strasse – Karl-Liebknecht-Strasse – Lustgarten (DGBB 657)",,,,,,,,Hasło_D;Trasa;Trasa_Ost,DE_1990-2019.md,True
1992,DE,DGB,True,demonstracja,Kleiststrasse – Nollendorfplatz – Bülowstrasse – Potsdamer Strasse – Potsdamer Brücke – Entlastungsstrasse – Kemper Platz – Strasse der 17. Juni – Brandenburger Tor – Pariser Platz – Unter den Linden – Lustgarten (DGBB 657),,Lustgarten,pole wiec,"Teilen verbindet
Solidarität verbindet
Ohne Moos nix los – Vertrauensleute von Merzedes-Benz Marienfelde fordern 9,5 Prozent; Otis West macht gut Gewinne, Otis Ost ist auch mit drinne; AEG Westinghouse – Arbeitsplätze und Wohnungen für alles statt Olympia 2000 (ND, IG Metall-Demo)
Solidarität gegen die Elenbogenschaft; Für Jäger 90 Lohnverzicht – mit uns nicht! (BKG, za ND)",7000@TAZ;15000;40000@ND;25000@DGBG000656;40000@BZ,25400,,Hasło_DGB;FrekwencjaMainDGB;FrekwencjaDGB;Hasła_DGB;TrasaDGB;wiec,DE_1990-2019.md,False
1992,DE,R1M,True,demonstracja,"Oranienplatz - geradeaus in die Oranienstr. - links in die Adalbertstr., am Kinderbauernhof und den besetzten Häusern im Osten vorbei - links in die Melchiorstr. bis zum Michaelkirchplatz - rechts in die Michaelkirchstr. rechts in die Köpeniker Str., an der ""137"" vorbei bis zur Manteuffelstr. rechts in die Manteuffel bis zur Skalitzer - links in die Wiener Str. rechts in die Ohlauer Str. - über die Brücke in die Friedelstr. - links in die Pflüger - rechts in die Reuterstr. bis zur Sonnenallee - rechts die Sonnenallee bis zum Herrmannplatz - links in den Kottbusser Damm - geradeaus über die Brücke in die Kottbusser Str. und diese bis zum Kottbusser Tor.*",,,,,15000,15000,,Trasa_revo;FrekwencjaRevo,DE_1990-2019.md,False
1992,DE,ÖTV,True,demonstracja,Lietzenburger Strasse – An der Urania – Schillstrasse – Lützowufer – Schöneberger Ufer – Potsdamer Strasse – Potsdamer Platz – Leipziger Platz – Leipziger Strasse – Friedrichstrasse – Unter den Linden – Lustgarten (DGBB 653),,Lustgarten (DGBB 653),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1992,DE,IG Metall,True,demonstracja,Alte Jakobstrasse/Lindenstrasse – Oranienstrasse – Moritzplatz – Heinrich-Heine-Strasse – Brückenstrasse – Jannowitzbrücke – Stalauer Strasse – Molkenmarkt – Spandauer Strasse – Karl-Liebknechtstrasse – Lustgarten (DGBG656). IG Metall joins the Wallstrasse demonstration at Märkisches Ufer/Brückenstrasse (DGBB 657),,,,,,,,TrasaIGM,DE_1990-2019.md,False
1993,DE,DGB,True,demonstracja,Wallstrasse 61-65 (10:00) – Lustgarten,,Lustgarten,pole wiec,"Zeichen setzen: Für Gleichberechtigung, Toleranz und Gerechtigkeit",15000@TAZ;5000@JW;30000@ND;25000@BZ;5000@rbb,16000,,Hasło_DGB;FrekwencjaDGB;TrasaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1993,DE,R1M,True,demonstracja,trudno ustalić: Poza punktem początkowym i końcowym brak informacji,,,,,7750@policja;5000@Tagesschau;5500@BZ,6083,,Trasa_revo;FrekwencjaRevo,DE_1990-2019.md,False
1993,DE,,False,demonstracja,"9:00 - ÖTV-Haus9:15 - PDS Auftaktkundgebung Rosa-Luxemburg-Platz Kundgebung, danach ""Zug der Widerspenstigen"" zur DGB-Kundgebung9:30 - IG Metall HausSPD Demonstration Start am IG-Metall-Haus, Alte Jakobstraße Motto: Unterstützung für den aktuellen Kampf der Metaller Zusätzlich: viele SPD-Bezirksverbände bieten Tanz in den Mai oder 1.-Mai-Fest an9:30 - BKG (Bündnis Kritischer Gewerkschaften) march von Luxemburg Platz zu Marx-Engels-Forum Motto: ""Solidarität statt Solidarpakt""10:00 - Gewerkschaftshaus Mitte10:45 - BKG short end-rally Marx-Engels-Forum danach Anschluss an die Demonstration des DGB11:00 - Hauptveranstaltung DGB Lustgarten12:00 - Helmholtzplatz in Prenzlauer Berg Bezirksfest12:30 - DAG (Deutsche Angestellten-Gewerkschaft) ""Hof-Info-Fest"" DAG-Haus, Blissestraße (Umbenennung in ""Siegfried-Aufhäuser-Haus"") Motto: ""Gegen Sozialabbau – für soziale Gerechtigkeit"" Informationen mit musikalischem Programm (taz)",,,,,,,,Trasa,DE_1990-2019.md,True
1994,DE,DGB,True,demonstracja,"IG-Metall-Gebäude, dem ÖTV-Haus und dem Haus der Gewerkschaften zum Lustgarten in Mitte. (taz 02.05)",,Lustgarten,pole wiec,"Arbeit, work, travail, robota, trabajo, iş
Für soziale Gerechtigkeit, gegen Rassismus und Faschismus (alt, 28.04.1994)
Arbeit für alle (hasło berlińskie, za tagesspiegel 2.05)",5000@TAZ;8000@DGBG664;5000@rbb,6000,,Hasło_DGB;TrasaDGB;FrekwencjaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1994,DE,DGB Berlin-Brandenburg,True,,,,,,,,,,Apel_DGB_BB,DE_1990-2019.md,True
1995,DE,DGB,True,demonstracja,9:30 Fahrradkorso. Keithstrasse – Kölnischer Park,,Köllnischer Park,pole wiec,"Die Arbeit geliebt, gehasst, gebraucht – die Arbeit – und morgen?",5000@TAZ;10000@DGBG664;60000@BM;10000@BZ,21250,,Hasło_DGB;FrekwencjaDGB;TrasaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1995,DE,,False,demonstracja,"Das Berliner Gewerkschaftsfest umfaßt einen Fahrradkorso ab DGB-Haus in der Keithstraße 9.30 Uhr, eine Demonstration am Moritzplatz um 10 Uhr, eine Kundgebung am Köllnischen Park in Mitte um 11 Uhr sowie anschließend ein Maifest an gleicher Stelle.  (ND 28.04.1995)",,,,,,,,Trasa,DE_1990-2019.md,True
1995,DE,R1M,True,demonstracja,13:00 Oranienplatz - Brandenburger Tor (taz 28.04),,Brandenburger Tor (taz 28.04),koniec trasy,,2500@BZ,2500,,FrekwencjaRevo;TrasaRevo,DE_1990-2019.md,False
1995,DE,ÖTV,True,demonstracja,9:30 Engeldamm 70 – Kölnischer Park,,Kölnischer Park,koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1996,DE,DGB,True,demonstracja,"Sternmarsch des DGB zum Roten Rathaus beginnt um 10 Uhr. IG Bau, GTB, GdED und NGG sammeln sich vor der Infobox am Potsdamer Platz; IG Metall, IG Medien und GHK treffen sich vor dem IG- Metall-Haus in der Alten Jakobstraße; die DGB-Jugend startet ihren Technozug am Oranienburger Tor; ÖTV, HBV, DPG, GEW und CPK klumpen sich vor dem ÖTV- Haus am Engeldamm zusammen. Dortselbst wird auch das „Bündnis gegen Sozialkürzung und Ausgrenzung“ mitmarschieren, das auf einem Flugblatt harsche Kritik an der DGB-Strategie für ein „Bündnis für Arbeit“ übt. (taz 30.04 Demos in Doppelpack)",,Rotes Rathaus,pole wiec,Höchste Zeit für Neue Zeiten,20000@TAZ;20000@DPA;10000@JW;20000@ND,17500,,Hasło_DGB;TrasaDGB;FrekwencjaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1996,DE,R1M,True,demonstracja,1. 13:00 Rosa-Luxemburg-platz – Linienstraße – Ackerstrasse – Invalidenstrasse – Veteranenstrasse – Kastanienallee – Pappelallee – Raumerstrasse – Schliemannstrasse – Hagenauerstrasse – Szredzkistrasse – Knaackstrasse – Kollwitzplatz (Antifa; Interim 372/1996) 2. Oranienplatz – Kollwitzplatz (ML),,Kollwitzplatz (ML),koniec trasy,,10000@TAZ;14000@JW,12000,,FrekwencjaRevo;TrasaRevo,DE_1990-2019.md,False
1996,DE,BKG,True,,,,,,"Bündnis von Unten, statt Bündnis für Arbeit!; Neunter Mai: Protesttag in Berlin!; Umverteilen! Von Oben nach Unten!; Bei Uns wird nicht gespart!; Euer Bündnis ist Beschiß!; Da wird's Kohl und Zwickel mau - Kampf dem Sozialabbau! Kampf dem Sozialabbau!; Zwickels Bündnis ist unser Ruin!; Schultes Vorstoß ist ein Hohn! Bei Krankheit woll'n wir vollen Lohn!; Kämpfen statt Kriechen!; Basiskampf statt Vorstandskrampf!; Aufruhr! Widerstand! Schulte hat kein Hinterland!; Dreißig Stunden! Personal - und Lohnausgleich!; Fünfzehnhundert M für Alle! Sonst pausenlos Krawalle! (BKG 244)",,,,Hasła_BKG,DE_1990-2019.md,True
1997,DE,DGB,True,demonstracja,"Die DGB-Demonstration beginnt morgen um 10 Uhr am Engeldamm 70, am Haus der IG Metall in der Alten Jakobstraße und an der Info-Box am Potsdamer Platz. Die SPD-Spitze demonstriert gemeinsam mit den Gewerkschaften ab 10 Uhr vor dem IG-Metall-Haus. Die zentrale Abschlußkundgebung dazu ist ab 11.30 Uhr vor dem Roten Rathaus. Ab 12 Uhr schließt sich dort die Kundgebung der PDS an. (30.04 taz)",,Rotes Rathaus,pole wiec,"Es geht ums Ganze: Sozialstaat sichern, Arbeit schaffen, soziale Gerechtigkeitverwirklichen",5000@TAZ;25000@DGBG1329;5000@BZ;7500@rbb,10625,,Hasło_DGB;TrasaDGB;FrekwencjaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1997,DE,R1M,True,demonstracja,1. AAB: Rosa-Luxemburg-Platz – Senefelder Platz – Schwedter Strasse – Choriner Strasse – ... – Oranienburger Strasse – Auguststrasse – Rosenthaler Platz (Interim 418/1997),,Rosenthaler Platz (Interim 418/1997),koniec trasy,,,,,TrasaRevo,DE_1990-2019.md,False
1998,DE,DGB,True,demonstracja,"Am internationalen Tag der Arbeit waren die Gewerkschaftsmitglieder von den Zentralen der ÖTV und der IG Metall zum Rathaus marschiert. (taz 2.05.1998) Abschlußkundgebung des Sterrunarschesvon DGB und DAG: 11.30,Rotes Rathaus; (taz 30.04.1998)",,Rotes Rathaus,pole wiec,Deine Stimme für Arbeit und soziale Gerechtigkeit,10000@TAZ;15000;20000@DGBG1327;20000@DPA;8000@TSG,14600,,Hasło_DGB;TrasaDGB;FrekwencjaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1998,DE,R1M,True,,,,,,,,,,FrekwencjaRevo,DE_1990-2019.md,True
1999,DE,DGB,True,demonstracja,"Wenn die Demonstrationszüge der Gewerkschaften vor dem Roten Rathaus eintreffen, herrscht ab 11 Uhr 30 gewerkschaftliche Volksfeststimmung (taz 30.04.1999)
Anschließend ist ein großes Familienprogramm und im Vorfeld ein Sternmarsch (10 Uhr, Potsdamer Platz, Engeldamm, Alte Jakobstraße) zum Roten Rathaus geplant (BM 30.04)",,Rotes Rathaus,pole wiec,Neues handeln. Für unser Land,10000@TAZ;15000@DGB;10000@TSG;10000@ND;7000@policja,10400,,Hasło_DGB;TrasaDGB;FrekwencjaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
1999,DE,R1M,True,demonstracja,13:00 – Planowana trasa: Oranienplatz – Heinrichplatz - Spreewaldplatz - Ohlauerstrasse - Reuterstrasse - Karl-Marx-Strasse - Hermannplatz - Kottbusser Damm - Kottbusser Tor 18:00 – Planowana trasa: Oranienplatz – Heinrichplatz - Spreewaldplatz - Ohlauerstrasse - Burknerstrasse  Hohenstausfenplatz (BZ 30.04.1999),,Burknerstrasse  Hohenstausfenplatz (BZ 30.04.1999),koniec trasy,,1500@BZ;15000@TAZ,8250,,FrekwencjaRevo;TrasaRevo,DE_1990-2019.md,False
2000,DE,DGB,True,demonstracja,"Die Gewerkschaftler brechen ab 10 Uhr zur Demonstration „Für mehr Beschäftigung“ auf. Treffpunkte: ÖTV-Haus (Engeldamm), IG-Metall-Haus (Alte Jakobstraße), DGB-Bundesvorstand (Burgstraße). Auch zahlreiche Inline-Skater wollen ab 10 Uhr vom Roten Rathaus aus zur Kundgebung des DGB anrollen (ab 11.30 Uhr, Platz vor dem Roten Rathaus). (29.04 taz)
10 Uhr: ab IG-Metall-Haus (über Alte Jakobstraße inKreuzberg, Fischerinsel, Breite, Rathaus- und Spandauer Straße), abÖTV-Haus (Engeldamm in Mitte, über Heinrich-Heine-, Brücken-, Alexander-,Grunerstraße, Straße am Alexanderplatz, Karl-Liebknecht- und SpandauerStraße), ab _DGB_-Bundesvorstand (ab Hackescher Markt in Mitte überRosenthaler Straße, Weinbergsweg, Schönhauser Allee, Rosa-Luxemburg-,Karl-Liebknecht-, Spandauer Straße), Skaterdemonstration (ab RotemRathaus, Unter den Linden, Straße des 17. Juni, Tiergartenstraße, Potsdamer Platz, Anhalter Bahnhof, Friedrich- und Französische Straße) 11.30 _DGB_-Kundgebung vorm Roten Rathaus, anschließend Maifest am Neptunbrunnen. (BK 29.04)",,Rotes Rathaus,pole wiec,Jetzt aufbrechen: Für mehr Beschäftigung,12000@DGBAI3702;7000@policja;10000@BK,9667,,Hasło_DGB;TrasaDGB;FrekwencjaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
2001,DE,DGB,True,demonstracja,"Der traditionelle Sternmarsch der Gewerkschaften beginnt um 10 Uhr an den Treffpunkten IG-Metall-Haus (Alte Jakobstraße), ÖTV-Haus (Engeldamm) und DGB-Bundesvorstand (Hackescher Markt). Den Abschluss bildet um 11.30 Uhr die DGB-Kundgebung unter dem Motto „Zukunft braucht alle Köpfe – Mitbestimmung gewinnt“ am Roten Rathaus. (taz 30.04.2001)",,Rotes Rathaus,pole wiec,Zukunft braucht alle Köpfe. Mitbestimmung gewinnt,10000@TAZ;25000@BZ;10000@TSG;18000@ND;18000,16200,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2001,DE,R1M,True,,,,,,,,,,Apel_radical_left,DE_1990-2019.md,True
