# Dzielnicowki: niecentralne wydarzenia organizowane przez lokalne struktury
# partyjne (PDS/Linke, SPD). Nigdy nie trafily na mapy, wiec nie da sie ich
# sparsowac -- sa wpisywane tutaj z prasy i z kronik.
#
# data    -- 01.05 albo 30.04. Czesc imprez to "Tanz in den Mai" z wieczora
#            30 kwietnia; to osobne wydarzenia i nie mieszaja sie z 1 maja.
# seria   -- nazwa cyklu, jesli wydarzenie powtarza sie co roku. Dzieki niej
#            POLE widzi ciaglosc, a nie osobne wydarzenie w kazdym roku.
# pewnosc -- "pewna" gdy zrodlo podaje wszystko wprost, "dzielnica" gdy sama
#            dzielnica jest wywnioskowana z adresu, "godzina" gdy brak godziny.
rok	data	miasto	dzielnica	aktor	typ	nazwa	godzina_od	godzina_do	miejsce	osoby	seria	pewnosc	zrodlo	uwaga	cytat
2012	01.05	DE	Hohenschönhausen	Die Linke	festyn	Familienfest »Bunte Platte«	11:00	20:00	Warnitzer Bogen		Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	Berliner Zeitung 30.04.2012; info links (Die Linke Lichtenberg) 03/2012	BZ nazywa je interkulturelles Fest i lokalizuje przy Falkenberger Chaussee / Vincent-van-Gogh-Straße; info links podaje Warnitzer Bogen i godzinyburmistrz Lichtenberga Andreas Geisel (SPD) wzywal, by odwiedzic festyn, a potem o 14:30 demonstrowac przeciw neonazistom	Dienstag, 1. Mai 11 – 20 Uhr: Familienfest »Bunte Platte«; Warnitzer Bogen (info links); BZ: Auch der Lichtenberger Bezirksbürgermeister Andreas Geisel (SPD) rief dazu auf, das interkulturelle Fest Bunte Platte an der Falkenberger Chaussee/Vincent-van-Gogh-Straße zu besuchen
2012	01.05	DE	Lichtenberg	Die Linke	kontra	Gegenkundgebung vor dem Lindencenter	14:00		Lindencenter			pewna	Berliner Zeitung 30.04.2012	zwolana przez Bezirksverband Linkspartei przeciw trzem wiecom NPD w Hellersdorfie i Lichtenbergu	Tollensestraße und von 14.30 Der Bezirksverband der Linkspartei hat zu einer Gegenkundgebung aufgerufen, die
2012	01.05	DE	Kreuzberg	Die Linke	festyn	Fest der Linken auf dem Mariannenplatz	14:00	19:00	Mariannenplatz		Mariannenplatzfest	pewna	Berliner Zeitung 30.04.2012	stoiska i dyskusje polityczne w ramach MyFestu; tam tez centralny punkt zbiorki dzieci	19 Uhr auch das Fest der Linken statt, mit Ständen und Politik-Diskussionen. Auch die zentrale Kindersammelstelle
1994	30.04	DE	Spandau	SPD	festyn	Tanz in den Mai	18:00					pewna	BZ 28.04.1994		Um 18 Uhr startet die Frauendemonstration am Alex,** und bei Einbruch der Dunkelheit beginnt **hinter dem Planetarium in Prenzlauer Berg der Hexentanz.** Ebenfalls um **
1994	30.04	DE	Prenzlauer Berg	SPD	festyn	Tanz in den Mai	20:00					pewna	BZ 28.04.1994		20:00 Tanz in den Mai SPD, Prenzlauer Berg (BZ 28.04.1994)
1994	01.05	DE	Friedrichshain	PDS	festyn	Maifest der PDS Friedrichshain und Lichtenberg	12:00		ND-Gebäude, Franz-Mehring-Platz 1	Christa Luft; Günter Reisch; Ernst-Busch-Chor; Ensemble aus Wünsdorf	Maifest im ND-Haus Friedrichshain	pewna	nd 27.04.1994	wspolna impreza dwoch zarzadow dzielnicowych: Friedrichshain i Lichtenberg	Die PDS von Friedrichshain und Lichtenberg begrüßen ihre Gäste ab 12 Uhr vor und im ND-Gebäude am Franz-Mehring-Platz 1. Dabei sind Prof. Dr Christa Luft, der Regisseur Günter Reisch, ein Ensemble aus Wünsdorf, der Ernst-Busch-Chor, Zauberer, Puppenspieler und Musikanten.
1994	01.05	DE	Köpenick	PDS	festyn	Maifeier im Luisenhain	14:00	18:00	Luisenhain		1. Mai Fest Köpenick	pewna	nd 27.04.1994	muzyka, kabaret, festyn dla dzieci	14-18 Uhr, Luisenhain, Marzahn,
1994	01.05	DE	Hohenschönhausen	Aktionsbündnis für Soziale Verantwortung	festyn	1. Mai-Fest im Oberseepark	14:00	18:00	Oberseepark am Wasserturm		Maifest am Obersee	pewna	nd 27.04.1994	20 stowarzyszen i projektow z Hohenschönhausen; prezentuja sie kandydaci SPD, PDS, CDU i B90/Grüne -- impreza ponadpartyjna, nie PDS-owska	Das »Aktionsbündnis für Soziale Verantwortung«, dem 20 Vereine und Projekte in Hohenschönhausen angehören, veranstaltet ein 1. Mai-Fest zwischen 14 und 18 Uhr im Oberseepark am Wasserturm.
1994	01.05	DE	Hohenschönhausen	SPD	festyn	Maifeier der SPD Hohenschönhausen	14:00	18:00	Orankebad		Maifeier am Orankebad	pewna	nd 27.04.1994	muzyka i darmowe piwo	Die Hohenschönhausener SPD macht bei Musik und Freibier ihre eigene Maifeier. Zwischen 14 und 18 Uhr am Orankebad.
1994	01.05	DE	Köpenick	SPD	festyn	Volksfest der SPD im Schlosshof	14:00		Schlosshof Köpenick			pewna	BZ 28.04.1994		**14:00** – Volksfest SPD w Köpenick, Schlosshof #SPD i Pankow, Breite Strasse (BZ 28.04.1994)
1994	01.05	DE	Pankow	SPD	festyn	Volksfest der SPD	14:00		Breite Straße			pewna	BZ 28.04.1994		**14:00** – Volksfest SPD w Köpenick, Schlosshof #SPD i Pankow, Breite Strasse (BZ 28.04.1994)
1995	30.04	DE	Neukölln	SPD	festyn	Tanz in den Mai			Gemeinschaftshaus Lipschitzallee			dzielnica	rocznik DE	zrodlo wymienia sale, nie nazywa zarzadu dzielnicowego	»Tanz in den Mai«, organizowany przez zarzady dzielnicowe SPD; rocznik wymienia sale: Gemeinschaftshaus Lipschitzallee
1995	30.04	DE	Wedding	SPD	festyn	Tanz in den Mai			Rathaus Wedding			dzielnica	rocznik DE	zrodlo wymienia sale, nie nazywa zarzadu dzielnicowego	»Tanz in den Mai«, organizowany przez zarzady dzielnicowe SPD; rocznik wymienia sale: Rathaus Wedding
1995	01.05	DE	Buch	SPD	festyn	Maifest im Schloßpark Buch	13:00	18:00	Schloßpark Buch			pewna	rocznik DE		(Festyny SPD): 13:00-18:00, Buch, Schloßpark
1995	01.05	DE	Hohenschönhausen	SPD	festyn	Maifeier am Orankebad	14:00	18:00	Orankebad		Maifeier am Orankebad	pewna	rocznik DE		(Festyny SPD): 14:00-18:00, Hohenschönhausen, Orankebad
2004	01.05	DE	Prenzlauer Berg	PDS	festyn	15. Kiezfest an der Bötzow-Eiche	14:00		Bötzowstraße / Am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 12	zrodlo nazywa ja PIETNASTA edycja -- a wiec pierwsza w 1990	1. Mai ab 14 Uhr 15. Kiezfest an der Bötzow-Eiche, Bötzowstraße/Am Friedrichshain
2007	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai-Fest an der Bötzow-Eiche	13:00	18:00	Bötzowstraße / Am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«		1. Mai 13 bis 18 Uhr 1. Mai-Fest an der Bötzow-Eiche, Bötzowstraße/Am Friedrichshain
2008	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai-Fest an der Bötzoweiche	13:00		Am Friedrichshain / Bötzowstraße, vor dem Kino am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 8		01. Mai 13 Uhr 1.Mai-Fest an der Bötzoweiche, Am Friedrichshain/Bötzowstraße vor dem Kino am Friedrichshain
2009	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai-Fest an der Bötzow-Eiche	14:00	19:00	Straße am Friedrichshain, beim Kino am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 8		01. Mai 14 - 19 Uhr 1. Mai-Fest an der Bötzow-Eiche, Straße am Friedrichshain beim Kino am Friedrichshain
2010	01.05	DE	Prenzlauer Berg	Die Linke	festyn	Maifest der LINKEN Pankow an der Bötzoweiche	14:00		Am Friedrichshain, Ecke Bötzowstraße		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 8	program: Hopse-Burg, Ulf und Zwulf, Tino Eisbrenner i inni; jedyne zrodlo, ktore nazywa organizatora wprost -- Die Linke Pankow	1. Mai 14 Uhr Maifest der LINKEN Pankow an der Bötzoweiche mit Hopse-Burg, Ulf und Zwulf und Tino Eisbrenner u.v.a.m., Am Friedrichshain, Ecke Bötzowstraße
2011	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai Fest an der Bötzoweiche	14:00		Bötzowstraße, Ecke Am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 8		1. Mai 14.00 Uhr 1. Mai Fest an der Bötzoweiche, Bötzowstraße, Ecke Am Friedrichshain
2012	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai-Fest an der Bötzoweiche	13:00		Kino am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 7		1. Mai • 13 Uhr 1. Mai-Fest an der Bötzoweiche Kino am Friedrichshain
2013	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai Fest an der Bötzoweiche	13:00		Straße am Friedrichshain / Bötzowstraße		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 7		1. Mai • 13 Uhr 1. Mai Fest an der Bötzoweiche, Straße am Friedrichshain/Bötzowstraße
2015	01.05	DE	Prenzlauer Berg	Die Linke	festyn	1. Mai-Fest an der Bötzoweiche	13:00		am Kino am Friedrichshain		Fest an der Bötzow-Eiche	pewna	Zotero: »Botzow-Fest 1. Mai PDS«, s. 7		1. Mai • 13 Uhr 1. Mai-Fest an der Bötzoweiche, am Kino am Friedrichshain
2003	01.05	DE	Hohenschönhausen	PDS	kontra	Bürgerdemo und -kundgebung »Gegen rechte Gewalt«	10:30	12:45	Falkenberger Chaussee (Höhe Kirche) – Ecke Vincent-van-Gogh-Straße; Kundgebung am Prerower Platz 11:45–12:45			pewna	info links (Die Linke Lichtenberg) 03/2003		10.30 Uhr: Stellplatz Demo: Falkenberger Chaussee/Höhe Kirche bis Ecke Vincentvan-Gogh-Straße,
2003	01.05	DE	Hohenschönhausen	PDS	festyn	Maifest am Obersee			Oberseepark		Maifest am Obersee	godzina	info links (PDS Lichtenberg) 03/2003	zrodlo pisze tylko "nachmittags"	■ Donnerstag, 1. Mai Bürgerdemo und -kundgebung: »Gegen rechte Gewalt«, 10.30 Uhr: Stellplatz Demo: Falkenberger Chaussee/Höhe Kirche bis Ecke Vincent-van-Gogh-Straße, 11.45–12.45 Uhr: Kundgebung am Prerower Platz; nachmittags: Maifest am Obersee
2006	01.05	DE	Hohenschönhausen	Linkspartei	festyn	Familienfest Falkenberger Chaussee	11:00		Falkenberger Chaussee / Vincent-van-Gogh-Straße		Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	info links (Die Linke Lichtenberg) 03/2006	ze stoiskiem Linkspartei	ab 11 Uhr: Falkenberger Chaussee/Vincent-van-Gogh-Straße (mit einem Stand der Linkspartei),
2006	01.05	DE	Lichtenberg	Linkspartei	festyn	Familienfest am Rathaus	12:00		Frankfurter Allee / Möllendorffstraße		Markt am Rathaus Lichtenberg	pewna	info links (Die Linke Lichtenberg) 03/2006		ab 12 Uhr: Frankfurter Allee/Möllendorffstraße Veranstaltungsort: *Alfred-Kowalke-Straße 14, **Ahrenshooper St…
2007	01.05	DE	Hohenschönhausen	Die Linke	festyn	Lichtenberger Familienfest	11:00	18:00	Warnitzer Bogen, Falkenberger Chaussee / Ecke Pablo-Picasso-Straße		Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	info links (Die Linke Lichtenberg) 03/2007		11 –18 Uhr LichtenbergerFam ilienfest;Warnitzer Bogen,FalkenbergerChaussee/Ecke Pablo-Picasso-Straße G Dienstag, 1.5.,
2010	01.05	DE	Lichtenberg	Die Linke	festyn	Sportfest »Der Gewalt einen Korb geben«	12:00	18:00	Frankfurter Allee, Ecke Möllendorffstraße		Markt am Rathaus Lichtenberg	pewna	info links (Die Linke Lichtenberg) 03/2010		2 –18 Uhr Sportfest„DerGewalteinen Korbgeben “, FrankfurterAllee,EckeMöllendorffstraße G Sonnabend, 8 .5. 65 .JahrestagderB efreiung vom Faschis - m us, Kranzniederlegungen :
2012	01.05	DE	Lichtenberg	Die Linke	festyn	Familiensportfest »Der Gewalt einen Korb geben«	12:00	18:00	Möllendorffstraße		Markt am Rathaus Lichtenberg	pewna	info links (Die Linke Lichtenberg) 03/2012		12 – 18 Uhr: Familiensportfest „Der Gewalt einen Korb geben“; Möllendorffstraße
2015	01.05	DE	Hohenschönhausen	Die Linke	festyn	Maifest auf der Falkenberger Festwiese	11:00		Falkenberger Festwiese		Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	info links (Die Linke Lichtenberg) 03/2015		ab 11 Uhr DIE LINKE. Lichtenberg ist beim Maifest auf der Falkenberger Fest - wiese dabei! MIT RA T & TAT SPRECHSTUNDEN TERMINE Öffnungszeiten der Geschäfts - stelle der LINKEN in der Alfre dKowalk e-Straße 14:
2007	01.05	DE	Köpenick	Die Linke	festyn	Maifest »Venceremos!«	13:00	18:00	Schlossplatz Köpenick	Ines Feierabend; Michael Schneider	1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 05/2007	program: Tiempo Nuevo 13:30 i 14:20, Chantaré, Resoluto; rozmowy o Ameryce Lacinskiej	18 Uhr Schlossplatz Köpenick
2008	01.05	DE	Köpenick	Die Linke	festyn	Maifete im Frauentog	13:00	18:00	Frauentog, Altstadt Köpenick		1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 139, maj 2008		13-18 Uhr Maifete im Frauentog, Altstadt Köpenick MO 5.5. 17:00 Basistreffen: Konzept zur Mitgliedergewinnung und –pflege,
2009	01.05	DE	Köpenick	Die Linke	festyn	Maifest im Frauentog	13:00	18:00	Frauentog / Schlossplatz Köpenick	Gregor Gysi	1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 148, kwiecien 2009	stoiska, program sceniczny, gastronomia; politycy krajowi i dzielnicowi	13-18 Uhr, Frauentog (Schlossplatz) Köpenick Gregor Gysi sowie Landes- und Bezirkspolitiker vor Ort, Marktstände, Bühnenprogramme, gastronomische Versorgung 8. Mai, Tag der Befreiung
2010	01.05	DE	Köpenick	Die Linke	festyn	Maifest am Schloßplatz	13:00	18:00	Schloßplatz Köpenick		1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 160, 29.04.2010	muzyka, panele, gastronomia	13 – 18 Uhr Maifest am Schloßplatz Köpenick. Mit Musik, Gesprächsrunden und gastronomischer Versorgung.
2011	01.05	DE	Köpenick	Die Linke	festyn	Maifest der Partei DIE LINKE	13:00	18:00	Frauentog, Altstadt Köpenick	Marko Tesch; Petra Pau; Klaus Lederer	1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 169, kwiecien 2011	13:00 otwarcie przez przewodniczacego dzielnicy, 13:15 Samba-Kids, 13:45 panel z Pau i Ledererem, 14:00 artystyka	13–18 Uhr Uhr Maifest der Partei DIE LINKE, Frauentog Altstadt Köpenick. So 1.5.
2012	01.05	DE	Köpenick	Die Linke	festyn	Maifest am Frauentog	13:00	18:00	Frauentog, naprzeciw Schlossplatz Köpenick	Klaus Lederer	1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 180, kwiecien 2012	13:00 otwarcie, 13:15 dziecieca grupa taneczna, 13:45 rozmowa z radnymi dzielnicowymi	13–18 Uhr Uhr Maifest der Partei DIE LINKE, Frauentog Altstadt Köpenick. So 1.5.
2014	01.05	DE	Köpenick	Die Linke	festyn	Maifest der LINKEN Treptow-Köpenick	13:00	19:00	Schloßplatz Köpenick		1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 201, 03.04.2014	13:00 Crimson Sunday Band, 13:45 i 14:15 Polit-Talk, 14:00 Dancefactory, 14:30 Quena Tapia	13 – 19 Uhr Maifest der LINKEN Treptow-Köpenick am Schloßplatz Köpenick. Programm siehe Seite 1. Do 1.5.
2015	01.05	DE	Köpenick	Die Linke	festyn	Maifest der LINKEN Treptow-Köpenick	13:00	18:00	Schloßplatz Köpenick		1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 211, kwiecien 2015		13–18 Uhr Maifest der LINKEN Treptow-Köpenick am Schloßplatz Köpenick. DO 1.5.
2016	01.05	DE	Köpenick	Die Linke	festyn	Maifest der LINKEN Treptow-Köpenick	13:00	18:00	Schloßplatz Köpenick		1. Mai Fest Köpenick	pewna	blättchen (Die Linke Treptow-Köpenick) 221, kwiecien 2016	13:20 i 13:50 Allonge (grupy taneczne dzieci i mlodziezy), 13:30 i 14:15 panele z politykami, 14:45 Bolschewistische Kurkapelle	13–18 Uhr Maifest der LINKEN Treptow-Köpenick auf demSchloßplatz Köpenick. ·
2007	01.05	DE	Treptow	Die Linke	festyn	16. Kiez-Fete rund um den Springbornclub	13:00	18:00	Springbornclub, Johannisthal	Rosemarie Schuder; Anne-Kathrin Bürger	Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 05/2007	zrodlo numeruje ja jako SZESNASTA -- pierwsza w 1992	16. KIEZ-FETE am 1.Mai 2007 rund um den Springbornclub von 13 bis 18 Uhr
2009	01.05	DE	Treptow	Die Linke	festyn	Kiezfete im Springbornklub	13:00	18:00	Springbornclub, Johannisthal		Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 148, kwiecien 2009		13-18 Uhr, Kiezfete im Springbornklub Joahnnisthal
2010	01.05	DE	Treptow	Die Linke	festyn	Kiezfest im Springbornklub	13:00	18:00	Springbornclub, Johannisthal		Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 160, 29.04.2010	panele, muzyka, festyn dla dzieci, gastronomia	13 – 18 Uhr Kiezfest im Springbornklub Johannisthal. Gesprächsrunden, Musik, Kinderfest, gastronomische Versorgung. Ausgabe Nr. 160
2011	01.05	DE	Treptow	Die Linke	festyn	20. Kiezfest Berlin-Johannisthal	12:00	22:00	Springbornclub, Johannisthal	Ines Feierabend	Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 169, kwiecien 2011	zrodlo numeruje ja jako DWUDZIESTA; panel ok. 14:00; Müggelberger Musikanten, Kinderzirkus Cabuwazi	12–22 Uhr 20. Kiezfest BerlinJohannisthal. Mit Bürgermeisterkandidatin Ines Feierabend und anderen Gästen in der Talkrunde (ca.
2012	01.05	DE	Treptow	Die Linke	festyn	Kiezfest im Springbornclub	13:00	18:00	Springbornclub Johannisthal / Treptow		Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 180, kwiecien 2012		13 – 18 Uhr, Springbornclub Johannisthal / Treptow 13.00 Eröffnung 13.15 Kindertanzgruppe 13.45 Gespräch Bezirksstadträte 14.30 Gespräch mit Klaus Lederer…
2014	01.05	DE	Treptow	Die Linke	festyn	23. Kiezfest der BO'n Johannisthal	13:00	18:00	Springbornclub, Springbornstraße 53		Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 201, 03.04.2014	zrodlo numeruje ja jako DWUDZIESTA TRZECIA; muzyka, taniec, panele, festyn dla dzieci	13 – 18 Uhr 23. Kiezfest der BO’n Johannisthal der LINKEN im Springbornclub, Springbornstraße 53, 12487 Berlin Mit Musik, Tanz, Talk-Runden und Kinderfest 8 blättchen Weitere Termine der Partei DIE LINKE finden Sie auf Seite 7 TERMINE +++…
2015	01.05	DE	Treptow	Die Linke	festyn	24. Kiezfest der BO'n Johannisthal	13:00	18:00	Springbornclub, Springbornstraße 53	Petra Pau	Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 211, kwiecien 2015	zrodlo numeruje ja jako DWUDZIESTA CZWARTA; panel z Petra Pau o 14:00; stoiska, sprzedaz ksiazek, kiermasz ciast	13 – 18 Uhr 23. Kiezfest der BO’n Johannisthal der LINKEN im Springbornclub, Springbornstraße 53, 12487 Berlin Mit Musik, Tanz, Talk-Runden und Kinderfest 8 blättchen Weitere Termine der Partei DIE LINKE finden Sie auf Seite 7 TERMINE +++…
2016	01.05	DE	Treptow	Die Linke	festyn	25. Kiezfest der LINKEN im Springbornclub	14:00	19:00	Springbornclub, Johannisthal		Maifest Springbornclub Johannisthal	pewna	blättchen (Die Linke Treptow-Köpenick) 221, kwiecien 2016	zrodlo numeruje ja jako DWUDZIESTA PIATA	14–19 Uhr 25. Kiezfest der LINKEN im Springbornclub Johannisthal So. 8.5.
1991	01.05	DE	Marzahn	PDS	festyn	Maibaumklettern an der PDS-Geschäftsstelle	13:00		Alt-Marzahn 64		Rot ist der Mai / Alt-Marzahn	pewna	rocznik DE 1991	w zrodle FDJS-Geschäftsstelle; Pawel poprawil w kartotece na PDS-Geschäftsstelle. Program: Kinderfest, Kremserfahrten, Disco, rozmowy ze zwiazkowcami i poslami z Marzahn	13:00 - Maibaumklettern vor der FDJS-Geschäftsstelle Alt-Marzahn 64
1991	01.05	DE	Hellersdorf	PDS	festyn	Maifeier in Hellersdorf	15:00		Haus Kastanienallee 6/8	Gregor Gysi	Maifest Boulevard Kastanienallee	pewna	rocznik DE 1991	adres i obsada z korekty Pawla w kartotece: Abendveranstaltung mit Gregor Gysi, Haus Kastanienallee 6/8 -- to ten sam adres co edycja 1993	15:00 - Maifeier in Hellersdorf (mit viel Musik)
1991	01.05	DE	Köpenick	nieustalony	festyn	Maifeier auf der Schönbörse	14:30	18:00	Schönbörse, Köpenick			aktor	rocznik DE 1991	godziny z korekty Pawla w kartotece. NIE podpiete pod cykl Köpenick: jesli to jego edycja, to liczenie od 1992 (18. edycja w 2009) przesuwa sie o rok	14:30-18:00 - Maifeier auf der Schönbörse in Köpenick (mit Kinderfest, Kunsthandwerk, Infos, Gesprächen)
1991	01.05	DE	Hohenschönhausen	nieustalony	festyn	Maifest »von unten«	14:00	20:00	Zingster Straße / Am Berg			aktor	rocznik DE 1991		14:00-20:00 - Maifest "von unten", Zinglster Str/Am Berg Ahornhausen, Hohenschönhausen (mit Kulturprogramm, Kinderfest, Infostände)
1991	01.05	DE	Prenzlauer Berg	nieustalony	festyn	Tanz unterm Maibaum	14:00	20:00	Kastanienallee 7-9			aktor	rocznik DE 1991	Kastanienallee w Prenzlauer Bergu, nie ta w Hellersdorfie	14:00-20:00 - Tanz unterm Maibaum in Prenzlauer Berg, Kastanienallee 7-9
1991	01.05	DE	Prenzlauer Berg	nieustalony	festyn	Maifeier hinter der Gethsemanekirche	13:00		Gethsemanekirche			aktor	rocznik DE 1991		13:00 - Maifeier hinter der Gethsemanekirche
1991	01.05	DE	Charlottenburg	nieustalony	festyn	Kinder- und Familienfest in der Jungfernheide	14:00	18:00	Jungfernheide, Eingang Heckerdamm			aktor	rocznik DE 1991		14:00-18:00 - Kinder- und Familienfest in der Jungfernheide (Eingang Heckerdamm)
1991	01.05	DE	Schöneberg	nieustalony	spotkanie	Diskussion im Rosa-Luxemburg-Haus	15:00		Rosa-Luxemburg-Haus, Kurze Straße 11			aktor	rocznik DE 1991		15:00 - Rosa-Luxemburg-Haus in Schöneberg, Kurze Str 11 - Diskussion "Was erwartet die Arbeitnehmerinnen in der Region Berlin/Brandenburg"
1991	01.05	DE	Kreuzberg	nieustalony	festyn	Straßenfest am Lausitzer Platz	15:00		Lausitzer Platz			aktor	rocznik DE 1991	poprzednik Mariannenplatzfestu: retrospekcja Linke z 2007 pisze, ze festyny na Lausitzer Platz w latach 80. konczyly sie starciami, a cykl odrodzil sie w 1997 na Mariannenplatzu	15:00 – Lausitzer Platz festival, pod hasłem »Gegen Rassismus und die Zerstörung Kreuzbergs« (BZ)
